Department	CourseID	Credits	Course Name	
MTGN	465	3.0	MECHANICAL PROPERTIES OF CERAMICS	
MTGN	467	2.0	"MATERIALS DESIGN: SYNTHESIS, CHARACTERIZATION AND SELECTION"	
MTGN	468	2.0	"MATERIALS DESIGN: SYNTHESIS, CHARACTERIZATION AND SELECTION"	
MTGN	469	3.0	FUEL CELL SCIENCE AND TECHNOLOGY	
MTGN	472	3.0	BIOMATERIALS I	
MTGN	473	3.0	COMPUTATIONAL MATERIALS	
MTGN	475	2.0	METALLURGY OF WELDING	
PAGN	101	0.5	PHYSICAL EDUCATION	
PAGN	102	0.5	PHYSICAL EDUCATION	
PAGN	133	0.5	OUTDOOR LEADERSHIP	
PAGN	151	0.5	VARSITY BASEBALL	
PAGN	153	0.5	VARSITY MEN'S BASKETBALL	
PAGN	154	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	157	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	159	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	161	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	167	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	168	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	169	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	173	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	175	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	177	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	179	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	201	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	203	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	205	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	206	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	207	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	209	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	210	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	211	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	212	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	221	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	222	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	223	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	232	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	233	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	241	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	242	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	245	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	257	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	258	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
PAGN	273	0.5	PHYSICAL EDUCATION (Im not manually labing all these)	
